Open,High,Low,Close,Volume,PreviousType
1.04881,1.04894,1.04881,1.04887,48,0
1.04881,1.04894,1.04881,1.0488,53,1
1.04881,1.04894,1.0488,1.04885,58,0
1.04881,1.04894,1.0488,1.04883,63,0
1.04881,1.04894,1.04877,1.04878,2,1
1.04878,1.04878,1.04872,1.04873,7,1
1.04878,1.04878,1.04868,1.04869,12,1
1.04878,1.04878,1.04868,1.0487,17,1
1.04878,1.04878,1.04868,1.04869,22,1
1.04878,1.04878,1.04864,1.04866,27,1
1.04878,1.04878,1.04864,1.04868,32,1
1.04878,1.04878,1.04864,1.04873,37,1
1.04878,1.04878,1.04864,1.04871,42,1
1.04878,1.04878,1.04864,1.04874,47,1
1.04878,1.04878,1.04864,1.04881,52,0
1.04878,1.04883,1.04864,1.04887,57,0
1.04878,1.04888,1.04864,1.04889,2,0
1.04889,1.04893,1.04889,1.04893,7,0
1.04889,1.04901,1.04889,1.04901,12,0
1.04889,1.04904,1.04889,1.0489,17,0
1.04889,1.04904,1.04889,1.04895,22,0
1.04889,1.04904,1.04889,1.04896,27,0
1.04889,1.04904,1.04889,1.04897,32,0
1.04889,1.04904,1.04889,1.04896,37,0
1.04889,1.04904,1.04889,1.0489,42,0
1.04889,1.04904,1.04889,1.0489,3,0
1.04889,1.04894,1.04889,1.04894,8,0
1.04889,1.04896,1.04889,1.04894,13,0
1.04889,1.04898,1.04889,1.04895,18,0
1.04889,1.04899,1.04889,1.04898,23,0
1.04889,1.04899,1.04889,1.0489,28,0
1.04889,1.04899,1.04889,1.04896,33,0
1.04889,1.04899,1.04889,1.04892,38,0
1.04889,1.04899,1.04889,1.04893,43,0
1.04889,1.04899,1.04889,1.0489,48,0
1.04889,1.04899,1.04889,1.04891,53,0
1.04889,1.04893,1.04893,1.04893,4,0
1.04893,1.04902,1.04893,1.04903,9,0
1.04893,1.04905,1.04893,1.049,14,0
1.04893,1.04905,1.04893,1.04894,19,0
1.04893,1.04905,1.04893,1.04894,24,0
1.04893,1.04905,1.04888,1.0489,29,1
1.04893,1.04905,1.04888,1.04892,34,1
1.04893,1.04905,1.04888,1.04896,39,0
1.04893,1.04905,1.04888,1.04901,44,0
1.04893,1.04906,1.04888,1.04905,50,0
1.04893,1.04907,1.04888,1.04907,56,0
1.04893,1.04907,1.04904,1.04905,3,0
1.04904,1.04905,1.049,1.049,8,1
1.04904,1.04905,1.04897,1.04899,13,1
1.04904,1.04905,1.04896,1.04898,18,1
1.04904,1.04905,1.04896,1.049,23,1
1.04904,1.04905,1.04896,1.04901,28,1
1.04904,1.04905,1.04896,1.04905,33,0
1.04904,1.04909,1.04896,1.04909,38,0
1.04904,1.04909,1.04896,1.04907,43,0
1.04904,1.04909,1.04891,1.04886,48,1
1.04904,1.04909,1.04885,1.04891,53,1
1.04904,1.04891,1.04891,1.04899,4,1
1.04891,1.04899,1.04891,1.049,9,0
1.04891,1.04906,1.04891,1.04906,14,0
1.04891,1.04906,1.04891,1.04896,19,0
1.04891,1.04906,1.04891,1.04898,24,0
1.04891,1.04906,1.04891,1.04908,29,0
1.04891,1.0491,1.04891,1.04909,34,0
1.04891,1.04915,1.04891,1.04911,39,0
1.04891,1.04915,1.04891,1.04905,44,0
1.04891,1.04915,1.04891,1.04904,49,0
1.04891,1.04915,1.04891,1.04903,54,0
1.04904,1.04904,1.04899,1.049,5,1
1.04904,1.04904,1.04899,1.04901,10,1
1.04904,1.04904,1.04899,1.04901,15,1
1.04904,1.04904,1.04899,1.049,20,1
1.04904,1.04904,1.04899,1.04903,25,1
1.04904,1.04907,1.04897,1.04899,30,1
1.04904,1.04907,1.04895,1.04895,35,1
1.04904,1.04907,1.04895,1.04894,40,1
1.04904,1.04907,1.04894,1.04892,45,1
1.04904,1.04907,1.04881,1.0488,50,1
1.04904,1.04907,1.0488,1.04891,55,1
1.04904,1.04907,1.0488,1.04895,60,1
1.04904,1.04907,1.0488,1.04896,65,1
1.04904,1.04907,1.0488,1.04901,70,1
1.04904,1.04907,1.0488,1.04902,75,1
1.04904,1.04912,1.04912,1.04914,3,0
1.04912,1.04917,1.04912,1.04915,8,0
1.04912,1.04917,1.04912,1.04915,13,0
1.04912,1.04917,1.04912,1.04915,18,0
1.04912,1.04921,1.04906,1.04905,23,1
1.04912,1.04921,1.04901,1.04904,28,1
1.04912,1.04921,1.04901,1.04912,33,0
1.04912,1.04921,1.04901,1.04917,38,0
1.04912,1.04921,1.04901,1.04913,43,0
1.04912,1.04921,1.04901,1.04913,48,0
1.04912,1.04921,1.04901,1.04917,53,0
1.04912,1.04921,1.04901,1.04913,58,0
1.04912,1.04921,1.04901,1.04914,63,0
1.04912,1.04921,1.04901,1.04915,68,0
1.04918,1.04918,1.04917,1.04919,5,0
1.04918,1.04919,1.04916,1.04917,10,1
1.04918,1.04919,1.04916,1.04918,15,0
1.04918,1.04921,1.04916,1.04924,20,0
1.04918,1.04929,1.04916,1.04926,25,0
1.04918,1.04929,1.04916,1.04926,30,0
1.04918,1.04929,1.04916,1.04923,35,0
1.04918,1.04929,1.04916,1.04923,40,0
1.04918,1.04929,1.04916,1.0492,45,0
1.04918,1.04929,1.04916,1.04917,50,1
1.04918,1.04929,1.04912,1.0492,55,0
1.04918,1.04929,1.04912,1.04919,60,0
1.04918,1.04929,1.04918,1.04919,3,0
1.04918,1.0492,1.04918,1.0492,8,0
1.04918,1.04921,1.04916,1.0492,13,0
1.04918,1.04924,1.04916,1.04926,18,0
1.04918,1.04926,1.04916,1.04924,23,0
1.04918,1.04926,1.04916,1.04927,28,0
1.04918,1.04927,1.04916,1.04931,33,0
1.04918,1.04931,1.04916,1.04936,38,0
1.04918,1.04938,1.04916,1.0493999999999999,43,0
1.04918,1.04941,1.04916,1.04944,48,0
1.04918,1.04945,1.04916,1.04945,53,0
1.04946,1.04946,1.04942,1.04945,5,1
1.04946,1.04946,1.04942,1.04946,10,0
1.04946,1.04955,1.04942,1.04954,15,0
1.04946,1.04955,1.04942,1.04948,20,0
1.04946,1.04955,1.04942,1.0495,25,0
1.04946,1.04955,1.04942,1.0495,30,0
1.04946,1.04955,1.04942,1.04947,35,0
1.04946,1.04955,1.04942,1.04945,40,1
1.04946,1.04955,1.04942,1.04944,45,1
1.04946,1.04955,1.04942,1.04945,50,1
1.04946,1.04955,1.04942,1.04942,55,1
1.04946,1.04955,1.04931,1.04932,60,1
1.04946,1.04955,1.0493,1.04931,65,1
1.04946,1.04955,1.0493,1.04931,70,1
1.04946,1.04955,1.0493,1.04935,1,1
1.04933,1.04933,1.04931,1.04934,6,0
1.04933,1.04936,1.04931,1.04935,11,0
